Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount,Target,RSI,MA5,MA20
1763769600000,2025-11-22,BTCUSDT,85129.42,85620.0,83500.0,84739.74,14193.93263,1197657354.9690385,4697593,86830.0,-226.17382506309747,87544.746,90049.3375
1763683200000,2025-11-21,BTCUSDT,86637.22,87498.94,80600.0,85129.43,72256.12679,6061348756.341564,11826480,84739.74,-249.1921411414052,86473.828,89680.14
1763596800000,2025-11-20,BTCUSDT,91554.96,93160.0,86100.0,86637.23,39733.19073,3548950335.0984216,7841395,85129.43,-169.5948963669142,86327.282,89411.23300000001
1763510400000,2025-11-19,BTCUSDT,92960.83,92980.22,88608.0,91554.96,32286.6376,2925773651.2559576,6822174,86637.23,-682.3081723102555,86978.272,89355.041
1763424000000,2025-11-18,BTCUSDT,92215.14,93836.01,89253.78,92960.83,39835.14769,3641033186.3004575,8786593,91554.96,843.7018330907043,88204.438,89471.3655
1763337600000,2025-11-17,BTCUSDT,94261.45,96043.0,91220.0,92215.14,39218.59806,3674562070.238606,8134322,92960.83,239.47999116227805,89699.51800000001,89562.35699999999
1763251200000,2025-11-16,BTCUSDT,95596.23,96635.11,93005.55,94261.44,23889.4051,2261295524.8173394,5141394,92215.14,311.9717335137789,91525.92000000001,89813.5895
1763164800000,2025-11-15,BTCUSDT,94594.0,96846.68,94558.49,95596.24,15110.89391,1449074019.067485,4263558,94261.44,272.5134548792185,93317.722,90126.8995
1763078400000,2025-11-14,BTCUSDT,99692.03,99866.02,94012.45,94594.0,47288.14481,4566085156.747207,9551025,95596.24,350.37642102989173,93925.53,90252.69649999999
1762992000000,2025-11-13,BTCUSDT,101654.37,104085.01,98000.4,99692.02,36198.50771,3654698026.540381,8125404,94594.0,210.93697468434675,95271.76800000001,90565.8
1762905600000,2025-11-12,BTCUSDT,103059.0,105333.33,100813.59,101654.37,20457.63906,2108514405.260877,5314132,99692.02,175.39835367736913,97159.614,91084.6245
1762819200000,2025-11-11,BTCUSDT,106011.13,107500.0,102476.09,103058.99,24196.50718,2532279071.0069213,5532149,101654.37,133.83383166454522,98919.124,91923.2735
1762732800000,2025-11-10,BTCUSDT,104722.95,106670.11,104265.02,106011.13,22682.25673,2400141664.389342,4710957,103058.99,129.97100126925906,101002.102,92705.82999999999
1762646400000,2025-11-09,BTCUSDT,102312.95,105495.62,101400.0,104722.96,16338.97096,1687020822.3668208,3404204,106011.13,128.65015067378454,103027.894,93401.856
1762560000000,2025-11-08,BTCUSDT,103339.09,103406.22,101454.0,102312.94,12390.77985,1267165565.37527,2743819,104722.96,130.99105456035332,103552.07800000001,93972.96800000001
1762473600000,2025-11-07,BTCUSDT,101346.04,104096.36,99260.86,103339.08,32059.50942,3251112979.3058844,6335759,102312.94,129.90787851496327,103889.01999999999,94573.2245
1762387200000,2025-11-06,BTCUSDT,103885.16,104200.0,100300.95,101346.04,25814.62139,2641767846.305827,5755001,103339.08,150.57621928626463,103546.43000000001,95116.3255
1762300800000,2025-11-05,BTCUSDT,101497.23,104534.74,98966.8,103885.16,33778.77571,3454273922.7003846,6500368,101346.04,160.3328413164427,103121.236,95942.08550000002
1762214400000,2025-11-04,BTCUSDT,106583.05,107299.0,98944.36,101497.22,50534.87376,5197697635.212413,9099609,103885.16,215.1200917483857,102476.088,96601.94600000001
1762128000000,2025-11-03,BTCUSDT,110540.69,110750.0,105306.56,106583.04,28681.18779,3076006652.001568,7074546,101497.22,163.20624447553243,103330.108,97589.598
1762041600000,2025-11-02,BTCUSDT,110098.1,111250.01,109471.34,110540.68,12107.00087,1336870531.1415012,2652188,106583.04,155.78522093168982,104770.42799999999,98879.645
1761955200000,2025-11-01,BTCUSDT,109608.01,110564.49,109394.81,110098.1,7378.50431,812389216.4346799,1994214,110540.68,165.67426523218404,106520.84,100128.07849999999
1761868800000,2025-10-31,BTCUSDT,108322.87,111190.0,108275.28,109608.01,21518.20439,2361590437.9414105,5256872,110098.1,160.0228719709126,107665.41,101276.6175
1761782400000,2025-10-30,BTCUSDT,110021.3,111592.0,106304.34,108322.88,25988.82838,2827221287.422797,6373451,109608.01,219.30410179286883,109030.54199999999,102115.0135
1761696000000,2025-10-29,BTCUSDT,112898.44,113643.73,109200.0,110021.29,21079.71376,2356715986.5335455,4481480,108322.88,223.06762823117708,109718.192,102968.0365
1761609600000,2025-10-28,BTCUSDT,114107.65,116086.0,112211.0,112898.45,15523.42257,1772753529.8642745,3829845,110021.29,204.6497470389636,110189.746,104002.202
1761523200000,2025-10-27,BTCUSDT,114559.41,116400.0,113830.01,114107.65,21450.23241,2470872744.548968,3660488,112898.45,227.1777257389596,110991.656,104994.5125
1761436800000,2025-10-26,BTCUSDT,111646.27,115466.8,111260.45,114559.4,13454.47737,1525108635.874829,2463951,114107.65,191.58598029368363,111981.93400000001,105942.67050000001
1761350400000,2025-10-25,BTCUSDT,111004.9,111943.19,110672.86,111646.27,6407.96864,714201332.9751225,1238199,114559.4,201.91335782619907,112646.61200000001,106795.28400000001
1761264000000,2025-10-24,BTCUSDT,110078.19,112104.98,109700.01,111004.89,15005.16913,1662806764.9533324,3241022,111646.27,232.44901712930528,112843.33199999998,107360.92749999999
1761177600000,2025-10-23,BTCUSDT,107567.45,111293.61,107500.0,110078.18,17573.09294,1924582289.4113936,3721614,111004.89,204.06337965263947,112279.278,107782.11799999999
1761091200000,2025-10-22,BTCUSDT,108297.66,109163.88,106666.69,107567.44,28610.78451,3090291706.4439816,5547903,110078.18,414.9597531963888,110971.23599999999,108007.5405
1761004800000,2025-10-21,BTCUSDT,110532.09,114000.0,107473.72,108297.67,37228.01659,4114477849.9320545,6004063,107567.44,235.4286848664424,109718.88999999998,108121.86750000001
1760918400000,2025-10-20,BTCUSDT,108642.77,111705.56,107402.52,110532.09,19193.4416,2119912185.5934684,4283542,108297.67,333.21457059292675,109496.054,108412.324
1760832000000,2025-10-19,BTCUSDT,107185.0,109450.07,106103.36,108642.78,15480.66423,1670074079.5802343,3205640,110532.09,-484.8079456241112,109023.63199999998,108728.81599999999
1760745600000,2025-10-18,BTCUSDT,106431.68,107499.0,106322.2,107185.01,11123.18766,1189002999.143113,2105450,108642.78,-315.8560154337816,108444.99799999999,108921.1125
1760659200000,2025-10-17,BTCUSDT,108194.27,109240.0,103528.23,106431.68,37920.66838,4022645635.221202,7570685,107185.01,-289.67928395349276,108217.84599999999,109175.39450000001
1760572800000,2025-10-16,BTCUSDT,110763.28,111982.45,107427.0,108194.28,29857.17252,3277596494.7619195,6127094,106431.68,-8525.482115085213,108197.16799999999,109390.85049999999
1760486400000,2025-10-15,BTCUSDT,113028.13,113612.35,110164.0,110763.28,22986.48811,2569639641.3527684,5243141,108194.28,1594.94871898542,108243.406,109854.15349999999
1760400000000,2025-10-14,BTCUSDT,115166.0,115409.96,109866.0,113028.14,31870.32974,3578140778.8084984,7425642,110763.28,8652.987894209164,109120.478,110176.40849999999
1760313600000,2025-10-13,BTCUSDT,114958.81,115963.81,113616.5,115166.0,22557.24033,2591831660.985749,5739352,113028.14,1148.0814475362529,110716.676,110407.6745
1760227200000,2025-10-12,BTCUSDT,110644.4,115770.0,109565.06,114958.8,32255.30272,3638546528.740156,6048575,115166.0,2929.1362043063896,112422.1,110650.7095
1760140800000,2025-10-11,BTCUSDT,112774.49,113322.39,109561.59,110644.4,35448.51652,3961069473.231136,6661929,114958.8,-1167.713375986893,112912.124,110702.52900000001
1760054400000,2025-10-10,BTCUSDT,121662.41,122550.0,102000.0,112774.5,64171.93927,7349750905.041157,11404522,110644.4,781.475579364945,113314.36799999999,110925.11000000002
1759968000000,2025-10-09,BTCUSDT,123306.01,123762.94,119651.47,121662.4,21559.36007,2621438087.566733,4231167,112774.5,196.10271559069145,115041.22,111507.1655
1759881600000,2025-10-08,BTCUSDT,121332.96,124197.25,121066.14,123306.0,17012.618,2084842842.4416163,4184997,121662.4,154.78271201431397,116669.22,112027.54299999999
1759795200000,2025-10-07,BTCUSDT,124658.54,125126.0,120574.94,121332.95,21633.99385,2657405799.8705487,4390785,123306.0,181.27988044752405,117944.05,112388.808
1759708800000,2025-10-06,BTCUSDT,123482.32,126199.63,123084.0,124658.54,19494.628793,2428828952.2653184,4206167,121332.95,175.0015750595515,120746.878,112893.76500000001
1759622400000,2025-10-05,BTCUSDT,122390.99,125708.42,122136.0,123482.31,22043.097553,2730817470.939564,3690670,124658.54,166.59227077946548,122888.43999999999,113485.567
1759536000000,2025-10-04,BTCUSDT,122232.21,122800.0,121510.0,122391.0,8208.16678,1002272903.3446472,1703590,123482.31,162.57744480957834,123034.15999999999,114054.87249999998
1759449600000,2025-10-03,BTCUSDT,120529.35,123894.99,119248.3,122232.0,23936.328,2907381076.681319,4246820,122391.0,156.46208431221646,122819.35999999999,114662.56349999997
1759363200000,2025-10-02,BTCUSDT,118594.99,121022.07,118279.31,120529.35,19670.83503,2349861127.3445807,3472073,122232.0,186.12711561426073,122658.64000000001,115310.65899999999
1759276800000,2025-10-01,BTCUSDT,114048.94,118649.1,113966.67,118594.99,20036.39516,2332096981.265933,3430343,120529.35,260.35067692751625,121445.93000000001,115825.525
1759190400000,2025-09-30,BTCUSDT,114311.97,114792.0,112656.27,114048.93,15044.15633,1710713267.1300955,3018331,118594.99,1775.5904740446206,119559.254,116001.367
1759104000000,2025-09-29,BTCUSDT,112163.96,114400.0,111560.65,114311.96,15541.12005,1755247635.871136,2442653,114048.93,-1902.746943937073,117943.446,116284.826
1759017600000,2025-09-28,BTCUSDT,109635.85,112350.0,109189.99,112163.95,7542.3316,832254944.3203354,1484866,114311.96,-581.4344240299117,115929.83599999998,116533.773
1758931200000,2025-09-27,BTCUSDT,109643.46,109743.91,109064.4,109635.85,5501.78643,601947588.9970765,919594,112163.95,-1611.245847999624,113751.13600000001,116693.9815
1758844800000,2025-09-26,BTCUSDT,108994.49,110300.0,108620.07,109643.46,14243.01591,1557098915.9392595,3257155,109635.85,-451.21525116255407,111960.83,116766.4405
1758758400000,2025-09-25,BTCUSDT,113307.01,113510.23,108631.51,108994.49,21231.14957,2356639689.9252143,4409953,109643.46,-41.36301884051923,110949.942,116678.001
1758672000000,2025-09-24,BTCUSDT,111998.8,113940.0,111042.66,113307.0,12369.25967,1394470628.502582,2229837,108994.49,-79.09530953095316,110748.95,116691.94400000002
1758585600000,2025-09-23,BTCUSDT,112650.99,113290.5,111458.73,111998.8,12301.3203,1383869800.273703,2455729,113307.0,-84.72908620495718,110715.92,116533.584
1758499200000,2025-09-22,BTCUSDT,115232.29,115379.25,111800.0,112650.99,20781.71356,2348872511.6988754,3045876,111998.8,-43.60040141411042,111318.948,116418.19350000001
1758412800000,2025-09-21,BTCUSDT,115685.63,115819.06,115188.0,115232.29,4511.52219,521299751.1504096,945965,112650.99,-94.74692182564402,112436.714,116647.58799999999
1758326400000,2025-09-20,BTCUSDT,115632.39,116121.81,115408.47,115685.63,4674.92752,541264273.2416894,740451,115232.29,-123.3336862842768,113774.94200000001,116793.14450000001
1758240000000,2025-09-19,BTCUSDT,117073.53,117459.99,115100.0,115632.38,8992.09065,1045792401.4532388,1732471,115685.63,-125.30994208757494,114240.01800000001,116491.6435
1758153600000,2025-09-18,BTCUSDT,116447.6,117900.0,116092.76,117073.53,11657.23365,1367513347.486509,2252654,115632.38,-281.0079807397372,115254.96399999999,116180.01999999999
1758067200000,2025-09-17,BTCUSDT,116788.96,117286.73,114720.81,116447.59,16754.2454,1946083704.6217456,3227418,117073.53,-452.22734469590966,116014.28400000001,115935.75200000001
1757980800000,2025-09-16,BTCUSDT,115349.71,116964.27,114737.11,116788.96,10926.9094,1265779287.5169268,2047058,116447.59,366.8755451582633,116325.61800000002,115542.273
1757894400000,2025-09-15,BTCUSDT,115268.01,116757.99,114384.0,115349.71,13212.51149,1522648235.2235153,2857989,116788.96,943.336063599132,116258.43400000001,115135.64300000001
1757808000000,2025-09-14,BTCUSDT,115918.29,116165.19,115135.0,115268.01,6707.60197,775762364.9685991,1237218,115349.71,315.37631360218575,116185.56000000001,114779.49350000001
1757721600000,2025-09-13,BTCUSDT,116029.41,116298.78,115127.27,115918.29,8269.40394,957724220.6497612,1223635,115268.01,166.1734931014068,115954.51199999999,114463.808
1757635200000,2025-09-12,BTCUSDT,115482.69,116665.63,114740.99,116029.42,15324.10719,1772122269.5018637,2481491,115918.29,165.1007835940096,115870.878,114238.8115
1757548800000,2025-09-11,BTCUSDT,113960.0,115488.09,113430.0,115482.69,13676.73119,1562241144.956541,2166359,116029.42,162.4991523072656,115609.624,114083.19649999999
1757462400000,2025-09-10,BTCUSDT,111546.38,114313.13,110917.45,113960.0,17517.41823,1978834750.2223115,2182534,115482.69,954.1745788667694,115331.68199999999,114078.75
